employee_number,age,tenure,turnover,hourly_rate,hours_weekly,compensation_type,job_role_area,gender,marital_status,num_companies_previously_worked,annual_professonal_dev_hrs,pay_check_method,text_message_optin,annual_salary,driving_commuter_distance,commute_distance_category
2239,49,6,No,68.75,40,Salary,Laboratory,Female,Married,3,22.0,Mailed Check,Yes,143000.0,250.0,"(190.8, 285.7]"
2240,25,3,No,20.03,40,Salary,Manufacturing,Female,Single,2,5.0,Mailed Check,Yes,41662.4,51.0,"(0.051, 95.9]"
2241,54,12,Yes,55.72,40,Salary,Human Resources,Female,Single,8,14.0,Mailed Check,Yes,115897.6,35.0,"(0.051, 95.9]"
2242,21,1,Yes,21.72,40,Salary,Marketing,Female,Married,2,15.0,Mailed Check,Yes,45177.6,5.0,"(0.051, 95.9]"
2243,47,20,No,96.83,40,Salary,Manufacturing,Male,Divorced,8,11.0,Mailed Check,Yes,201406.4,250.0,"(190.8, 285.7]"
2244,58,16,No,88.33,40,Salary,Research,Male,Single,6,21.0,Mailed Check,Yes,283726.4,6.0,"(0.051, 95.9]"
2245,45,19,No,56.11,40,Salary,Marketing,Male,Married,4,12.0,Direct Deposit,Yes,116708.8,34.0,"(0.051, 95.9]"
2246,34,9,No,29.38,40,Salary,Information Technology,Male,Married,5,9.0,Mailed Check,Yes,63931.2,62.0,"(0.051, 95.9]"
2247,42,7,No,96.78,40,Salary,Manufacturing,Female,Divorced,8,8.0,Mailed Check,Yes,201302.4,25.0,"(0.051, 95.9]"
2248,56,14,Yes,82.23,40,Salary,Sales,Female,Married,4,15.0,Mailed Check,Yes,171038.4,67.0,"(0.051, 95.9]"
2249,41,7,Yes,49.03,40,Salary,Marketing,Female,Married,4,5.0,Direct Deposit,Yes,103382.4,42.0,"(0.051, 95.9]"
2250,60,13,Yes,54.83,40,Salary,Research,Female,Married,4,12.0,Mailed Check,Yes,114046.4,25.0,"(0.051, 95.9]"
2251,43,9,Yes,35.38,40,Salary,Marketing,Male,Divorced,2,12.0,Direct Deposit,Yes,73590.4,63.0,"(0.051, 95.9]"
2252,42,3,No,77.91,40,Salary,Manufacturing,Female,Divorced,6,22.0,Mailed Check,Yes,162052.8,32.0,"(0.051, 95.9]"
2253,44,10,No,87.57,40,Salary,Research,Female,Single,6,10.0,Direct Deposit,Yes,282145.6,86.0,"(0.051, 95.9]"
2254,59,14,Yes,52.73,40,Salary,Laboratory,Male,Single,7,15.0,Mailed Check,Yes,109678.4,64.0,"(0.051, 95.9]"
2255,59,5,No,47.11,40,Salary,Research,Male,Married,5,11.0,Mailed Check,Yes,97988.8,55.0,"(0.051, 95.9]"
2256,54,5,No,52.49,40,Salary,Manufacturing,Female,Divorced,5,14.0,Direct Deposit,Yes,109179.2,1.0,"(0.051, 95.9]"
2257,42,1,No,74.33,40,Salary,Manufacturing,Male,Married,4,11.0,Mailed Check,Yes,154606.4,34.0,"(0.051, 95.9]"
2258,42,4,Yes,96.35,40,Salary,Sales,Female,Married,4,19.0,Mailed Check,Yes,200408.0,38.0,"(0.051, 95.9]"
2259,44,10,No,80.15,40,Salary,Human Resources,Female,Divorced,7,5.0,Mailed Check,Yes,166712.0,54.0,"(0.051, 95.9]"
2260,60,19,Yes,93.32,40,Salary,Human Resources,Female,Married,9,13.0,Direct Deposit,Yes,334105.6,41.0,"(0.051, 95.9]"
2261,39,3,Yes,26.01,40,Salary,Research,Female,Married,3,15.0,Mailed Check,Yes,54100.8,13.0,"(0.051, 95.9]"
2262,43,4,Yes,59.96,40,Salary,Marketing,Male,Married,9,15.0,Mailed Check,Yes,124716.8,60.0,"(0.051, 95.9]"
2263,56,10,No,89.53,40,Salary,Research,Female,Single,4,15.0,Direct Deposit,Yes,286222.4,55.0,"(0.051, 95.9]"
2264,36,2,Yes,56.93,40,Salary,Marketing,Female,Single,1,14.0,Mailed Check,Yes,128414.4,36.0,"(0.051, 95.9]"
2265,57,15,No,90.88,40,Salary,Research,Male,Divorced,7,15.0,Mailed Check,Yes,289030.4,42.0,"(0.051, 95.9]"
2266,47,14,Yes,57.69,40,Salary,Sales,Male,Divorced,4,15.0,Mailed Check,Yes,133995.2,42.0,"(0.051, 95.9]"
2267,41,7,Yes,64.81,40,Salary,Human Resources,Female,Divorced,3,18.0,Mailed Check,Yes,134804.8,43.0,"(0.051, 95.9]"
2268,41,9,Yes,64.38,40,Salary,Information Technology,Female,Single,4,13.0,Mailed Check,Yes,133910.4,39.0,"(0.051, 95.9]"
2269,43,2,No,70.5,40,Salary,Sales,Female,Married,4,14.0,Direct Deposit,Yes,146640.0,25.0,"(0.051, 95.9]"
2270,52,16,Yes,70.79,40,Salary,Information Technology,Female,Divorced,3,6.0,Mailed Check,Yes,147243.2,76.0,"(0.051, 95.9]"
2271,49,18,No,45.63,40,Salary,Laboratory,Female,Divorced,6,19.0,Mailed Check,Yes,94910.4,42.0,"(0.051, 95.9]"
2272,61,10,No,93.07,40,Salary,Research,Female,Married,4,16.0,Mailed Check,Yes,333585.6,36.0,"(0.051, 95.9]"
2273,43,2,No,44.44,40,Salary,Sales,Male,Single,9,8.0,Mailed Check,Yes,92435.2,67.0,"(0.051, 95.9]"
2274,29,1,No,25.33,40,Salary,Sales,Female,Married,2,24.0,Direct Deposit,Yes,52395.2,42.0,"(0.051, 95.9]"
2275,58,20,No,52.99,40,Salary,Sales,Male,Married,3,15.0,Direct Deposit,Yes,110233.2,47.0,"(0.051, 95.9]"
2276,31,9,Yes,27.83,40,Salary,Marketing,Female,Divorced,1,15.0,Mailed Check,Yes,57886.4,47.0,"(0.051, 95.9]"
2277,39,7,Yes,80.5,40,Salary,Human Resources,Female,Single,2,25.0,Mailed Check,Yes,167440.0,250.0,"(190.8, 285.7]"
2278,57,10,No,40.83,40,Salary,Human Resources,Female,Single,2,19.0,Mailed Check,Yes,84926.4,20.0,"(0.051, 95.9]"
2279,44,8,Yes,33.4,40,Salary,Healthcare,Female,Single,3,15.0,Mailed Check,Yes,40352.0,8.0,"(0.051, 95.9]"
2280,56,17,No,86.49,40,Salary,Sales,Female,Divorced,1,15.0,Mailed Check,Yes,179899.2,55.0,"(0.051, 95.9]"
2281,47,13,No,65.75,40,Salary,Research,Female,Single,4,10.0,Mailed Check,Yes,136760.0,42.0,"(0.051, 95.9]"
2282,44,14,Yes,35.88,40,Salary,Information Technology,Female,Single,9,7.0,Mailed Check,Yes,74630.4,52.0,"(0.051, 95.9]"
2283,47,15,No,38.1,40,Salary,Research,Male,Single,4,6.0,Mailed Check,Yes,79248.0,74.0,"(0.051, 95.9]"
2284,44,9,Yes,47.04,40,Salary,Healthcare,Male,Divorced,4,22.0,Mailed Check,Yes,97843.2,250.0,"(190.8, 285.7]"
2285,48,6,Yes,73.1,40,Salary,Laboratory,Female,Single,8,23.0,Mailed Check,Yes,152048.0,43.0,"(0.051, 95.9]"
2286,47,8,Yes,58.31,40,Salary,Sales,Female,Divorced,1,15.0,Mailed Check,Yes,121284.8,250.0,"(190.8, 285.7]"
2287,40,6,No,29.51,40,Salary,Human Resources,Male,Married,9,10.0,Direct Deposit,Yes,61380.8,50.0,"(0.051, 95.9]"
2288,37,2,Yes,62.26,40,Salary,Laboratory,Female,Divorced,1,21.0,Mailed Check,Yes,129500.8,28.0,"(0.051, 95.9]"
2289,56,10,Yes,49.47,40,Salary,Sales,Female,Divorced,1,22.0,Direct Deposit,Yes,102897.6,38.0,"(0.051, 95.9]"
2290,60,13,No,40.74,40,Salary,Human Resources,Female,Married,5,17.0,Mailed Check,Yes,84739.2,81.0,"(0.051, 95.9]"
2291,61,17,Yes,79.55,40,Salary,Sales,Female,Single,5,15.0,Direct Deposit,Yes,165464.0,42.0,"(0.051, 95.9]"
2292,36,2,No,82.29,40,Salary,Healthcare,Female,Single,1,6.0,Mailed Check,Yes,171163.2,13.0,"(0.051, 95.9]"
2293,39,10,No,87.86,40,Salary,Sales,Female,Married,5,23.0,Direct Deposit,Yes,282748.8,41.0,"(0.051, 95.9]"
2294,57,18,No,86.88,40,Salary,Information Technology,Female,Divorced,3,6.0,Mailed Check,Yes,280710.4,78.0,"(0.051, 95.9]"
2295,49,10,No,66.3,40,Salary,Laboratory,Female,Divorced,4,8.0,Mailed Check,Yes,137904.0,44.0,"(0.051, 95.9]"
2296,36,7,Yes,68.07,40,Salary,Healthcare,Prefer Not to Answer,Divorced,6,15.0,Mailed Check,Yes,141585.6,81.0,"(0.051, 95.9]"
2297,43,3,No,52.8,40,Salary,Manufacturing,Male,Single,4,7.0,Mailed Check,Yes,109824.0,4.0,"(0.051, 95.9]"
2298,25,3,Yes,22.49,40,Salary,Research,Male,Married,3,7.0,Mailed Check,Yes,46779.2,33.0,"(0.051, 95.9]"
2299,34,6,Yes,24.64,40,Salary,Research,Female,Single,6,17.0,Mailed Check,Yes,51251.2,57.0,"(0.051, 95.9]"
2300,44,14,Yes,54.51,40,Salary,Sales,Female,Married,4,13.0,Mailed Check,Yes,113380.8,83.0,"(0.051, 95.9]"
2301,28,2,No,24.14,40,Salary,Human Resources,Female,Divorced,3,15.0,Mailed Check,Yes,50211.2,27.0,"(0.051, 95.9]"
2302,45,20,Yes,97.65,40,Salary,Research,Female,Divorced,2,19.0,Mailed Check,Yes,203112.0,55.0,"(0.051, 95.9]"
2303,39,9,Yes,92.05,40,Salary,Sales,Female,Single,4,11.0,Mailed Check,Yes,331464.0,42.0,"(0.051, 95.9]"
2304,28,6,Yes,23.77,40,Salary,Human Resources,Female,Married,3,15.0,Mailed Check,Yes,49441.6,250.0,"(190.8, 285.7]"
2305,58,6,Yes,56.85,40,Salary,Human Resources,Male,Married,8,15.0,Mailed Check,Yes,128248.0,250.0,"(190.8, 285.7]"
2306,33,4,No,30.94,40,Salary,Manufacturing,Male,Divorced,1,8.0,Mailed Check,Yes,64355.2,41.0,"(0.051, 95.9]"
2307,40,4,No,29.15,40,Salary,Healthcare,Male,Single,1,22.0,Mailed Check,Yes,60632.0,33.0,"(0.051, 95.9]"
2308,22,1,Yes,20.28,40,Salary,Research,Female,Married,3,20.0,Mailed Check,Yes,42282.4,1.0,"(0.051, 95.9]"
2309,61,19,No,53.09,40,Salary,Healthcare,Female,Single,3,11.0,Direct Deposit,Yes,110427.2,60.0,"(0.051, 95.9]"
2310,34,6,No,25.58,40,Salary,Healthcare,Male,Married,6,19.0,Mailed Check,Yes,53206.4,22.0,"(0.051, 95.9]"
2311,21,1,Yes,20.4,40,Salary,Manufacturing,Male,Single,3,17.0,Mailed Check,Yes,42432.0,250.0,"(190.8, 285.7]"
2312,24,1,No,22.14,40,Salary,Manufacturing,Female,Married,1,20.0,Mailed Check,Yes,46051.2,58.0,"(0.051, 95.9]"
2313,35,10,No,24.46,40,Salary,Manufacturing,Female,Single,4,6.0,Mailed Check,Yes,50876.8,77.0,"(0.051, 95.9]"
2314,23,1,Yes,20.93,40,Salary,Sales,Female,Single,1,24.0,Direct Deposit,Yes,43534.4,42.0,"(0.051, 95.9]"
2315,40,6,No,42.43,40,Salary,Research,Male,Single,9,14.0,Mailed Check,Yes,88254.4,57.0,"(0.051, 95.9]"
2316,23,1,Yes,20.98,40,Salary,Sales,Male,Single,2,12.0,Mailed Check,Yes,43638.4,50.0,"(0.051, 95.9]"
2317,48,11,Yes,72.61,40,Salary,Marketing,Female,Single,4,9.0,Mailed Check,Yes,151028.8,42.0,"(0.051, 95.9]"
2318,41,7,Yes,32.26,40,Salary,Manufacturing,Female,Married,3,10.0,Mailed Check,Yes,67100.8,64.0,"(0.051, 95.9]"
2319,39,4,Yes,64.56,40,Salary,Laboratory,Female,Married,6,23.0,Direct Deposit,Yes,134284.8,42.0,"(0.051, 95.9]"
2320,58,11,No,43.67,40,Salary,Sales,Female,Married,8,9.0,Direct Deposit,Yes,90833.6,75.0,"(0.051, 95.9]"
2321,32,10,Yes,31.03,40,Salary,Research,Female,Divorced,2,12.0,Mailed Check,Yes,64542.4,42.0,"(0.051, 95.9]"
2322,40,10,Yes,33.29,40,Salary,Laboratory,Male,Single,3,15.0,Direct Deposit,Yes,69243.2,42.0,"(0.051, 95.9]"
2323,37,2,No,79.83,40,Salary,Marketing,Female,Married,2,15.0,Mailed Check,Yes,166046.4,250.0,"(190.8, 285.7]"
2324,45,12,No,33.06,40,Salary,Sales,Female,Single,7,15.0,Direct Deposit,Yes,68764.8,54.0,"(0.051, 95.9]"
2325,35,10,Yes,22.87,40,Salary,Laboratory,Male,Divorced,1,25.0,Mailed Check,Yes,47569.6,42.0,"(0.051, 95.9]"
2326,61,16,Yes,92.85,40,Salary,Human Resources,Female,Married,3,19.0,Mailed Check,Yes,333128.0,44.0,"(0.051, 95.9]"
2327,39,2,Yes,96.95,40,Salary,Sales,Female,Single,4,21.0,Direct Deposit,Yes,201656.0,17.0,"(0.051, 95.9]"
2328,50,11,Yes,95.33,40,Salary,Marketing,Female,Single,2,18.0,Mailed Check,Yes,337995.2,72.0,"(0.051, 95.9]"
2329,30,1,Yes,22.9,40,Salary,Research,Female,Divorced,3,25.0,Mailed Check,Yes,47632.0,5.0,"(0.051, 95.9]"
2330,43,7,No,92.28,40,Salary,Sales,Female,Married,7,18.0,Mailed Check,Yes,333342.4,72.0,"(0.051, 95.9]"
2331,38,8,Yes,30.88,40,Salary,Marketing,Male,Married,4,20.0,Mailed Check,Yes,64230.4,250.0,"(190.8, 285.7]"
2332,30,4,Yes,28.32,40,Salary,Research,Female,Divorced,1,17.0,Mailed Check,Yes,58905.6,9.0,"(0.051, 95.9]"
2333,51,7,No,31.63,40,Salary,Marketing,Male,Divorced,9,21.0,Mailed Check,Yes,65790.4,25.0,"(0.051, 95.9]"
2334,46,10,No,34.67,40,Salary,Sales,Female,Divorced,7,10.0,Mailed Check,Yes,72113.6,67.0,"(0.051, 95.9]"
2335,53,8,Yes,93.26,40,Salary,Research,Male,Married,3,5.0,Mailed Check,Yes,333980.8,42.0,"(0.051, 95.9]"
2336,53,5,No,60.04,40,Salary,Human Resources,Male,Single,8,12.0,Mailed Check,Yes,124883.2,55.0,"(0.051, 95.9]"
2337,47,16,No,95.75,40,Salary,Marketing,Male,Divorced,3,20.0,Mailed Check,Yes,339160.0,81.0,"(0.051, 95.9]"
2338,55,18,No,32.01,40,Salary,Information Technology,Female,Married,5,5.0,Mailed Check,Yes,66580.8,33.0,"(0.051, 95.9]"
2339,36,4,Yes,85.51,40,Salary,Laboratory,Female,Divorced,3,14.0,Mailed Check,Yes,177860.8,45.0,"(0.051, 95.9]"
2340,40,3,No,97.86,40,Salary,Research,Female,Divorced,2,14.0,Mailed Check,Yes,203548.8,38.0,"(0.051, 95.9]"
2341,43,6,Yes,92.69,40,Salary,Information Technology,Male,Married,3,16.0,Direct Deposit,Yes,332795.2,16.0,"(0.051, 95.9]"
2342,52,12,Yes,94.13,40,Salary,Laboratory,Female,Divorced,7,24.0,Mailed Check,Yes,335790.4,11.0,"(0.051, 95.9]"
2343,46,10,Yes,36.64,40,Salary,Sales,Male,Single,7,21.0,Mailed Check,Yes,76211.2,42.0,"(0.051, 95.9]"
2344,31,2,No,28.98,40,Salary,Marketing,Male,Divorced,1,17.0,Mailed Check,Yes,39478.4,63.0,"(0.051, 95.9]"
2345,56,13,No,59.53,40,Salary,Human Resources,Female,Single,4,6.0,Mailed Check,Yes,123822.4,54.0,"(0.051, 95.9]"
2346,44,11,No,33.38,40,Salary,Research,Female,Divorced,2,11.0,Mailed Check,Yes,40310.4,3.0,"(0.051, 95.9]"
2347,48,19,Yes,53.77,40,Salary,Research,Male,Married,4,11.0,Mailed Check,Yes,112841.6,69.0,"(0.051, 95.9]"
2348,32,5,No,31.07,40,Salary,Marketing,Female,Married,2,15.0,Mailed Check,Yes,64625.6,34.0,"(0.051, 95.9]"
2349,51,11,No,50.25,40,Salary,Research,Female,Married,4,11.0,Mailed Check,Yes,104520.0,65.0,"(0.051, 95.9]"
2350,37,1,No,82.79,40,Salary,Human Resources,Female,Married,3,19.0,Direct Deposit,Yes,172203.2,35.0,"(0.051, 95.9]"
2351,23,1,Yes,21.33,40,Salary,Manufacturing,Male,Married,2,18.0,Mailed Check,Yes,44366.4,42.0,"(0.051, 95.9]"
2352,59,7,No,66.23,40,Salary,Marketing,Female,Single,7,21.0,Mailed Check,Yes,137758.4,54.0,"(0.051, 95.9]"
2353,45,16,No,76.48,40,Salary,Manufacturing,Male,Single,1,20.0,Mailed Check,Yes,159078.4,14.0,"(0.051, 95.9]"
2354,48,18,Yes,72.89,40,Salary,Human Resources,Female,Divorced,1,7.0,Mailed Check,Yes,151611.2,88.0,"(0.051, 95.9]"
2355,35,3,Yes,24.92,40,Salary,Healthcare,Female,Divorced,6,15.0,Mailed Check,Yes,52833.6,84.0,"(0.051, 95.9]"
2356,53,19,Yes,72.42,40,Salary,Human Resources,Female,Married,3,17.0,Mailed Check,Yes,150633.6,76.0,"(0.051, 95.9]"
2357,51,15,No,32.65,40,Salary,Sales,Male,Single,4,10.0,Direct Deposit,Yes,67912.0,65.0,"(0.051, 95.9]"
2358,50,14,Yes,74.53,40,Salary,Research,Female,Divorced,8,20.0,Mailed Check,Yes,155022.4,56.0,"(0.051, 95.9]"
2359,23,1,Yes,20.96,40,Salary,Research,Female,Married,3,6.0,Mailed Check,Yes,43596.8,8.0,"(0.051, 95.9]"
2360,37,3,Yes,40.48,40,Salary,Sales,Female,Divorced,6,10.0,Mailed Check,Yes,84338.4,42.0,"(0.051, 95.9]"
2361,32,7,Yes,27.98,40,Salary,Sales,Female,Married,3,6.0,Mailed Check,Yes,58338.4,42.0,"(0.051, 95.9]"
2362,58,14,No,68.37,40,Salary,Research,Male,Divorced,8,19.0,Mailed Check,Yes,142209.6,42.0,"(0.051, 95.9]"
2363,52,6,Yes,88.32,40,Salary,Human Resources,Female,Single,4,20.0,Direct Deposit,Yes,283705.6,44.0,"(0.051, 95.9]"
2364,56,19,No,65.55,40,Salary,Healthcare,Male,Divorced,5,21.0,Mailed Check,Yes,136344.0,42.0,"(0.051, 95.9]"
2365,40,3,No,62.0,40,Salary,Information Technology,Female,Married,3,15.0,Mailed Check,Yes,128960.0,43.0,"(0.051, 95.9]"
2366,29,4,No,24.92,40,Salary,Marketing,Male,Single,2,15.0,Direct Deposit,Yes,52833.6,41.0,"(0.051, 95.9]"
2367,32,1,Yes,27.98,40,Salary,Information Technology,Male,Single,3,21.0,Mailed Check,Yes,58338.4,67.0,"(0.051, 95.9]"
2368,21,1,Yes,22.09,40,Salary,Research,Male,Single,3,15.0,Mailed Check,Yes,4947.2,76.0,"(0.051, 95.9]"
2369,54,8,Yes,47.26,40,Salary,Research,Female,Single,2,15.0,Mailed Check,Yes,98300.8,61.0,"(0.051, 95.9]"
2370,35,6,No,30.56,40,Salary,Healthcare,Female,Divorced,3,17.0,Mailed Check,Yes,63564.8,1.0,"(0.051, 95.9]"
2371,46,7,Yes,82.15,40,Salary,Healthcare,Female,Divorced,6,19.0,Mailed Check,Yes,170872.0,41.0,"(0.051, 95.9]"
2372,56,6,Yes,94.72,40,Salary,Sales,Male,Married,5,15.0,Mailed Check,Yes,337017.6,86.0,"(0.051, 95.9]"
2373,52,15,Yes,57.03,40,Salary,Sales,Male,Single,2,13.0,Direct Deposit,Yes,128622.4,43.0,"(0.051, 95.9]"
2374,51,16,No,88.28,40,Salary,Sales,Female,Married,2,23.0,Direct Deposit,Yes,283414.4,62.0,"(0.051, 95.9]"
2375,45,10,No,35.13,40,Salary,Healthcare,Female,Married,4,5.0,Direct Deposit,Yes,73070.4,41.0,"(0.051, 95.9]"
2376,56,7,Yes,51.93,40,Salary,Sales,Male,Married,5,23.0,Mailed Check,Yes,108014.4,62.0,"(0.051, 95.9]"
2377,54,6,Yes,34.05,40,Salary,Marketing,Male,Single,2,20.0,Mailed Check,Yes,70824.0,7.0,"(0.051, 95.9]"
2378,30,1,Yes,30.72,40,Salary,Information Technology,Female,Single,2,21.0,Mailed Check,Yes,63897.6,42.0,"(0.051, 95.9]"
2379,61,10,Yes,61.16,40,Salary,Healthcare,Female,Single,5,12.0,Mailed Check,Yes,127212.8,28.0,"(0.051, 95.9]"
2380,49,7,Yes,90.53,40,Salary,Research,Male,Single,6,16.0,Mailed Check,Yes,288302.4,23.0,"(0.051, 95.9]"
2381,52,9,No,63.89,40,Salary,Human Resources,Female,Married,3,9.0,Mailed Check,Yes,132891.2,9.0,"(0.051, 95.9]"
2382,48,6,No,33.29,40,Salary,Information Technology,Female,Single,8,7.0,Mailed Check,Yes,69243.2,17.0,"(0.051, 95.9]"
2383,41,7,Yes,33.98,40,Salary,Marketing,Female,Married,1,18.0,Mailed Check,Yes,70678.4,21.0,"(0.051, 95.9]"
2384,39,5,No,41.54,40,Salary,Information Technology,Female,Single,3,17.0,Mailed Check,Yes,86403.2,78.0,"(0.051, 95.9]"
2385,41,7,Yes,31.99,40,Salary,Research,Male,Married,6,15.0,Direct Deposit,Yes,66539.2,9.0,"(0.051, 95.9]"
2386,51,11,Yes,88.33,40,Salary,Human Resources,Prefer Not to Answer,Single,7,15.0,Mailed Check,Yes,283435.2,56.0,"(0.051, 95.9]"
2387,31,3,Yes,25.02,40,Salary,Healthcare,Female,Single,2,8.0,Direct Deposit,Yes,52041.6,42.0,"(0.051, 95.9]"
2388,42,1,Yes,36.96,40,Salary,Research,Male,Single,5,5.0,Mailed Check,Yes,76876.8,4.0,"(0.051, 95.9]"
2389,46,10,No,76.36,40,Salary,Research,Female,Divorced,2,14.0,Mailed Check,Yes,158828.8,59.0,"(0.051, 95.9]"
2390,36,2,No,29.33,40,Salary,Laboratory,Female,Divorced,6,15.0,Mailed Check,Yes,60715.2,56.0,"(0.051, 95.9]"
2391,37,7,No,80.56,40,Salary,Sales,Female,Single,3,17.0,Mailed Check,Yes,167564.8,49.0,"(0.051, 95.9]"
2392,32,7,No,31.17,40,Salary,Laboratory,Female,Married,1,11.0,Mailed Check,Yes,64833.6,34.0,"(0.051, 95.9]"
2393,30,6,Yes,25.85,40,Salary,Healthcare,Male,Married,1,24.0,Mailed Check,Yes,53768.0,37.0,"(0.051, 95.9]"
2394,60,13,No,39.86,40,Salary,Research,Female,Single,2,15.0,Mailed Check,Yes,82908.8,40.0,"(0.051, 95.9]"
2395,37,3,Yes,55.28,40,Salary,Marketing,Female,Married,4,15.0,Direct Deposit,Yes,114774.4,43.0,"(0.051, 95.9]"
2396,57,6,Yes,93.03,40,Salary,Laboratory,Female,Divorced,3,23.0,Mailed Check,Yes,333502.4,80.0,"(0.051, 95.9]"
2397,51,7,No,79.28,40,Salary,Research,Female,Single,4,22.0,Mailed Check,Yes,164694.4,56.0,"(0.051, 95.9]"
2398,45,19,No,86.26,40,Salary,Marketing,Male,Married,4,5.0,Mailed Check,Yes,179420.8,2.0,"(0.051, 95.9]"
2399,24,1,Yes,22.28,40,Salary,Sales,Female,Married,1,15.0,Direct Deposit,Yes,46134.4,74.0,"(0.051, 95.9]"
2400,25,3,No,20.79,40,Salary,Manufacturing,Female,Single,2,20.0,Mailed Check,Yes,43243.2,88.0,"(0.051, 95.9]"
2401,44,13,Yes,95.57,40,Salary,Laboratory,Female,Divorced,4,9.0,Mailed Check,Yes,338785.6,8.0,"(0.051, 95.9]"
2402,36,2,Yes,47.45,40,Salary,Manufacturing,Female,Married,5,25.0,Mailed Check,Yes,98696.0,42.0,"(0.051, 95.9]"
2403,38,3,Yes,29.49,40,Salary,Marketing,Male,Divorced,6,15.0,Mailed Check,Yes,61292.0,42.0,"(0.051, 95.9]"
2404,35,7,Yes,22.82,40,Salary,Information Technology,Female,Married,4,15.0,Mailed Check,Yes,47465.6,8.0,"(0.051, 95.9]"
2405,45,19,No,31.7,40,Salary,Sales,Male,Married,2,9.0,Direct Deposit,Yes,65936.0,33.0,"(0.051, 95.9]"
2406,52,14,Yes,53.12,40,Salary,Laboratory,Male,Divorced,1,5.0,Mailed Check,Yes,110489.6,250.0,"(190.8, 285.7]"
2407,59,19,No,72.99,40,Salary,Laboratory,Male,Married,1,19.0,Mailed Check,Yes,152833.2,58.0,"(0.051, 95.9]"
2408,23,1,Yes,20.94,40,Salary,Marketing,Female,Single,3,17.0,Mailed Check,Yes,43555.2,75.0,"(0.051, 95.9]"
2409,42,5,No,63.24,40,Salary,Human Resources,Male,Divorced,2,8.0,Direct Deposit,Yes,131539.2,24.0,"(0.051, 95.9]"
2410,46,12,Yes,41.65,40,Salary,Sales,Male,Single,7,19.0,Mailed Check,Yes,86632.0,81.0,"(0.051, 95.9]"
2411,59,12,No,53.05,40,Salary,Sales,Female,Single,7,6.0,Mailed Check,Yes,110344.0,77.0,"(0.051, 95.9]"
2412,46,8,Yes,64.68,40,Salary,Research,Female,Married,5,15.0,Mailed Check,Yes,134534.4,33.0,"(0.051, 95.9]"
2413,53,7,No,38.3,40,Salary,Research,Female,Divorced,6,20.0,Mailed Check,Yes,79664.0,84.0,"(0.051, 95.9]"
2414,55,19,No,33.96,40,Salary,Marketing,Male,Married,4,7.0,Mailed Check,Yes,41516.8,53.0,"(0.051, 95.9]"
2415,60,17,No,77.39,40,Salary,Manufacturing,Female,Divorced,9,10.0,Mailed Check,Yes,160971.2,75.0,"(0.051, 95.9]"
2416,58,19,No,31.94,40,Salary,Research,Male,Divorced,4,16.0,Mailed Check,Yes,66435.2,250.0,"(190.8, 285.7]"
2417,59,17,No,79.7,40,Salary,Healthcare,Female,Divorced,3,15.0,Mailed Check,Yes,165776.0,11.0,"(0.051, 95.9]"
2418,49,13,Yes,35.25,40,Salary,Research,Female,Married,8,15.0,Direct Deposit,Yes,73320.0,42.0,"(0.051, 95.9]"
2419,37,5,No,92.67,40,Salary,Manufacturing,Female,Divorced,2,10.0,Mailed Check,Yes,332753.6,82.0,"(0.051, 95.9]"
2420,48,16,No,80.83,40,Salary,Manufacturing,Female,Divorced,8,20.0,Mailed Check,Yes,168126.4,28.0,"(0.051, 95.9]"
2421,39,6,No,71.16,40,Salary,Human Resources,Female,Divorced,4,10.0,Direct Deposit,Yes,148012.8,42.0,"(0.051, 95.9]"
2422,35,3,No,30.33,40,Salary,Research,Male,Divorced,3,11.0,Mailed Check,Yes,62795.2,87.0,"(0.051, 95.9]"
2423,36,2,Yes,28.12,40,Salary,Human Resources,Male,Single,4,22.0,Mailed Check,Yes,58489.6,66.0,"(0.051, 95.9]"
2424,39,4,No,30.8,40,Salary,Research,Male,Divorced,3,25.0,Mailed Check,Yes,64064.0,27.0,"(0.051, 95.9]"
2425,54,5,No,76.74,40,Salary,Research,Female,Married,6,6.0,Mailed Check,Yes,159633.2,27.0,"(0.051, 95.9]"
2426,40,8,Yes,34.25,40,Salary,Information Technology,Male,Divorced,9,23.0,Mailed Check,Yes,71240.0,250.0,"(190.8, 285.7]"
2427,52,5,No,96.94,40,Salary,Sales,Female,Single,6,22.0,Direct Deposit,Yes,201635.2,1.0,"(0.051, 95.9]"
2428,33,9,Yes,29.95,40,Salary,Sales,Male,Single,5,11.0,Mailed Check,Yes,62296.0,38.0,"(0.051, 95.9]"
2429,57,5,No,63.79,40,Salary,Research,Female,Divorced,6,14.0,Mailed Check,Yes,132683.2,4.0,"(0.051, 95.9]"
2430,39,6,Yes,51.59,40,Salary,Sales,Female,Married,1,15.0,Direct Deposit,Yes,107307.2,42.0,"(0.051, 95.9]"
2431,39,7,No,63.63,40,Salary,Information Technology,Male,Divorced,4,13.0,Mailed Check,Yes,132350.4,42.0,"(0.051, 95.9]"
2432,32,8,No,25.41,40,Salary,Manufacturing,Female,Single,3,15.0,Mailed Check,Yes,52852.8,83.0,"(0.051, 95.9]"
2433,40,5,Yes,34.77,40,Salary,Laboratory,Female,Single,4,15.0,Direct Deposit,Yes,72321.6,41.0,"(0.051, 95.9]"
